#,Předmět,Přiřazeno,Stav,Priorita
9726,FO 123/2018 Nákup deskových her a materiálu 1,"",Dokončen,Normální
9591,FO 123/2018 Nákup deskových her a materiálu 1,"",Čeká se - oni,Normální
