#,Předmět,Přiřazeno,Stav,Priorita
10286,FO 387/2018 Materiál na akci Ukliďme Česko 2018,"",Nový,Normální
10285,FO 387/2018 Materiál na akci Ukliďme Česko 2018,"",Dokončen,Normální
