,značka,středisko,položka,částka,podáno,proplaceno,redmine,popis
269,FO 272/2018,strana,212900001,-482.00,2018-03-20,2018-03-21,https://redmine.pirati.cz/issues/9967,cestovné Jana Rohová
270,FO 273/2018,strana,212900001,-8548.27,2018-03-20,2018-03-20,,"airtable platby 01,02 a 03/2018"
271,FO 274/2018,moravskoslezsko,220400150,-2824.00,2018-03-20,2018-03-21,https://redmine.pirati.cz/issues/9970,Hostovné - ubytování
272,FO 275/2018,moravskoslezsko,220400150,-2759.00,2018-03-20,2018-03-29,https://redmine.pirati.cz/issues/9973,Doprava - Autobus - PirateCon
273,FO 276/2018,strana,212900001,-45859.00,2018-03-20,2018-03-24,https://redmine.pirati.cz/issues/9984,odměna vedoucí PO 2/2018
274,FO 277/2018,karlovarsko,220200603,-12582.00,2018-03-21,2018-03-21,https://redmine.pirati.cz/issues/9988,Skládací židle e-PIC
275,FO 278/2018,jiznicechy,221200601,-15000.00,2018-03-21,2018-03-21,https://redmine.pirati.cz/issues/10003,nájem duben
276,FO 279/2018,praha,220100001,-2500.00,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10004,Občerstvení na školení KoDo
277,FO 280/2018,strana,212900001,-1090.00,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10005,Úniková hra - Teambuilding
278,FO 281/2018,vysocina,220700404,-927.00,2018-03-21,2018-03-21,,Kancelářské potřeby
279,FO 282/2018,praha,220100402,-125.80,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10007,Toaletní papír do PiCe
280,FO 283/2018,praha,220100001,-3025.00,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10008,"Pracovna 3, grilování"
281,FO 284/2018,praha,220100001,-3025.00,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10009,"Pracovna 4, grilování"
282,FO 285/2018,strana,212900001,-278.00,2018-03-21,2018-03-22,https://redmine.pirati.cz/issues/10011,Cestovné - Michaela Kleslová
283,FO 286/2018,vysocina,220700404,-350.00,2018-03-22,2018-03-23,,Samolepy na dveře JiPiCe II.
284,FO 287/2018,strana,212800001,-50000.00,2018-03-22,2018-04-03,https://redmine.pirati.cz/issues/10027,Grafické práce
285,FO 288/2018,vysocina,220700404,-620.00,2018-03-22,2018-03-23,,Stojan na mikrofon
286,FO 289/2018,strana,210000521,-10000.00,2018-03-22,2018-04-09,https://redmine.pirati.cz/issues/10024,FO 289/2018 – Grafické práce
287,FO 290/2018,vysocina,220700405,-1226.00,2018-03-22,2018-03-23,,Občerstvení
288,FO 291/2018,strana,212800001,-8900.00,2018-03-22,2018-04-03,https://redmine.pirati.cz/issues/10026,Grafické práce
289,FO 292/2018,vysocina,220700403,-677.00,2018-03-22,2018-03-23,,Klíče a kari síť
290,FO 293/2018,vysocina,220700403,-374.60,2018-03-22,2018-03-26,,Drobné provozní potřeby
291,FO 294/2018,plzensko,221300400,-3398.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10030,"Sedací vak, 2 kusy"
292,FO 295/2018,plzensko,221300400,-528.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10031,Klíče od Pirátského Centra
293,FO 296/2018,plzensko,221300400,-155.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10036,Montážní lepidlo
294,FO 297/2018,plzensko,221300400,-570.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10035,Revize hasicího přístroje
295,FO 298/2018,plzensko,221300400,-2234.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10033,Úklidové práce
296,FO 299/2018,plzensko,221300400,-1000.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10032,Železné mříže na zeď
297,FO 300/2018,plzensko,221300400,-3705.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10034,Osvětlení výloh
298,FO 301/2018,plzensko,221300400,-399.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10037,Schránka na dopisy
299,FO 302/2018,strednicechy,221400001,-777.00,2018-03-22,,,proplacení faktury - otevření poděbradské kanceláře
300,FO 303/2018,strednicechy,221400001,-3775.00,2018-03-22,2018-03-24,https://redmine.pirati.cz/issues/10038,proplacení faktury - otevření poděbradské kanceláře
301,FO 304/2018,plzensko,221300400,-125.00,2018-03-22,2018-03-23,https://redmine.pirati.cz/issues/10039,Klíče do PiCe
302,FO 305/2018,plzensko,221300400,-275.00,2018-03-24,2018-03-26,https://redmine.pirati.cz/issues/10057,Kancelářské potřeby
303,FO 306/2018,strana,212800001,-7550.00,2018-03-26,2018-03-26,https://redmine.pirati.cz/issues/10066,Otevření kanceláře poslance Ivana Bartoše v Poděbradech
304,FO 307/2018,zlinsko,220500001,-1452.00,2018-03-26,2018-03-26,https://redmine.pirati.cz/issues/10070,Cestovné-Piráti SK
305,FO 308/2018,strana,212400001,-224.00,2018-03-26,2018-03-26,https://redmine.pirati.cz/issues/10072,Tkadlec/RV/cestovné
306,FO 309/2018,strana,212400001,-844.00,2018-03-26,2018-03-27,https://redmine.pirati.cz/issues/10073,RV/Rezek/cestovné
307,FO 310/2018,strana,231172027,-4611.00,2018-03-27,2018-04-03,https://redmine.pirati.cz/issues/10082,Nákup techniky
308,FO 311/2018,vysocina,220704401,-1962.00,2018-03-27,2018-04-03,,Trička (dobrovolníci)
309,FO 312/2018,strana,212400001,-980.00,2018-03-27,2018-03-27,https://redmine.pirati.cz/issues/10084,Scwarzova/cestovné RV
310,FO 313/2018,vysocina,220700405,-1101.00,2018-03-27,2018-04-03,,Materiál na pirátské placky
311,FO 314/2018,strana,212400001,-750.00,2018-03-27,2018-03-27,https://redmine.pirati.cz/issues/10085,Koláčný/cestovné RV
312,FO 315/2018,strana,210000521,-3150.00,2018-03-27,2018-03-28,https://redmine.pirati.cz/issues/10087,Ubytování Lipnice - vedlejší objekt
313,FO 316/2018,zlinsko,220500131,-20000.00,2018-03-27,2018-03-27,https://redmine.pirati.cz/issues/10089,Kauce/Fuksa/78
314,FO 317/2018,strana,231172038,-5000.00,2018-03-27,2018-04-02,https://redmine.pirati.cz/issues/10090,Soudní poplatek - kasační stížnost
315,FO 318/2018,plzensko,221300400,-2200.00,2018-03-27,2018-03-28,https://redmine.pirati.cz/issues/10094,Závěsný systém do výloh
316,FO 319/2018,strana,212900001,-323.00,2018-03-28,2018-03-28,https://redmine.pirati.cz/issues/10099,cestovné - Pavel Štěpánek
317,FO 320/2018,strana,212900001,-720.00,2018-03-28,2018-04-17,https://redmine.pirati.cz/issues/10100,cestovné - Libuše Věříšová
318,FO 321/2018,strana,212400001,-1290.00,2018-03-28,2018-03-28,https://redmine.pirati.cz/issues/10103,RV/Šmída/cestovné
319,FO 322/2018,strana,212400001,-1068.00,2018-03-28,2018-03-28,https://redmine.pirati.cz/issues/10104,RV/Smutná/cestovné
320,FO 323/2018,praha,220100402,-1447.00,2018-03-28,2018-03-29,https://redmine.pirati.cz/issues/10107,Klíče od PiCe pro nové koordinátory a jiné
321,FO 324/2018,strana,212800001,-22990.00,2018-03-28,2018-03-29,https://redmine.pirati.cz/issues/10106,Sociologický výzkum Behavio
322,FO 325/2018,praha,220100001,-953.63,2018-03-28,2018-03-29,https://redmine.pirati.cz/issues/10109,Občerstvení na akce v PiCe
323,FO 326/2018,pardubicko,220800400,-456.00,2018-03-28,2018-03-29,https://redmine.pirati.cz/issues/10111,Cesta do Rudoltic
324,FO 327/2018,olomoucko,220300001,-19720.00,2018-03-28,2018-04-03,https://redmine.pirati.cz/issues/10112,Relexní vesty
325,FO 328/2018,strana,231172004,-11016.00,2018-03-28,2018-04-03,https://redmine.pirati.cz/issues/10118,Židle stohovací e-PIC 1. část
326,FO 329/2018,jiznimorava,220600460,-2299.00,2018-03-29,2018-04-02,https://redmine.pirati.cz/issues/10122,Nájem za prostory pro KS 28.3.
327,FO 330/2018,strana,212400001,-477.00,2018-03-29,2018-03-29,https://redmine.pirati.cz/issues/10123,KučeraR./cestovné/RV
328,FO 331/2018,strana,212900001,-159.00,2018-03-29,2018-04-02,https://redmine.pirati.cz/issues/10124,Cestovné
329,FO 332/2018,strana,231172007,-4870.00,2018-03-29,2018-04-04,https://redmine.pirati.cz/issues/10125,Repasovany notebook k PaRo projektu
330,FO 333/2018,strana,212800001,-18030.00,2018-03-29,,https://redmine.pirati.cz/issues/10128,Odměna psavce za 2/2018 Jakub Dušánek
331,FO 334/2018,vysocina,220700001,-1778.40,2018-03-29,2018-04-03,,Cestovné 03/18
332,FO 335/2018,vysocina,220704401,-383.00,2018-03-29,2018-04-03,,Pásky na ruku
333,FO 336/2018,strana,213100001,-11971.48,2018-03-30,,https://redmine.pirati.cz/issues/10145,Doprava a ubytování na Think Twice 2018
334,FO 337/2018,praha,220100001,-1255.60,2018-03-30,2018-04-02,https://redmine.pirati.cz/issues/10139,Občerstvení a oběd na školení KoKS
335,FO 338/2018,praha,220100402,-800.00,2018-03-30,2018-04-02,https://redmine.pirati.cz/issues/10140,Instalatér - oprava toalety v PiCe
336,FO 339/2018,praha,220100402,-366.00,2018-03-30,2018-04-02,https://redmine.pirati.cz/issues/10141,Drogerie do PiCe
337,FO 340/2018,strana,212900001,-210.00,2018-03-31,2018-04-04,https://redmine.pirati.cz/issues/10161,Cestovné - Štěpán Drtina
338,FO 341/2018,praha,220100001,-3025.00,2018-04-01,2018-04-02,https://redmine.pirati.cz/issues/10175,"Pracovna 5, grilování"
339,FO 342/2018,strana,212600001,-20000.00,2018-04-02,2018-04-02,https://redmine.pirati.cz/issues/10188,Odměna asistent CAP 03/2018
340,FO 343/2018,praha,220100001,-4215.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10189,nákup a pirátském eshopu 2
341,FO 344/2018,strana,212900001,-21000.00,2018-04-03,2018-04-06,https://redmine.pirati.cz/issues/10238,"Odměna - KoKS KhK, 03/2018"
342,FO 345/2018,strana,212900001,-23927.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10190,"Odměna - KoKS PaK, 3/2018"
